,state,abbreviation,ages,year,population,area (sq. mi)
0,Alabama,AL,under18,2012,1117489.0,52423
1,Alabama,AL,total,2012,4817528.0,52423
2,Alabama,AL,under18,2010,1130966.0,52423
3,Alabama,AL,total,2010,4785570.0,52423
4,Alabama,AL,under18,2011,1125763.0,52423
5,Alabama,AL,total,2011,4801627.0,52423
6,Alabama,AL,total,2009,4757938.0,52423
7,Alabama,AL,under18,2009,1134192.0,52423
8,Alabama,AL,under18,2013,1111481.0,52423
9,Alabama,AL,total,2013,4833722.0,52423
10,Alabama,AL,total,2007,4672840.0,52423
11,Alabama,AL,under18,2007,1132296.0,52423
12,Alabama,AL,total,2008,4718206.0,52423
13,Alabama,AL,under18,2008,1134927.0,52423
14,Alabama,AL,total,2005,4569805.0,52423
15,Alabama,AL,under18,2005,1117229.0,52423
16,Alabama,AL,total,2006,4628981.0,52423
17,Alabama,AL,under18,2006,1126798.0,52423
18,Alabama,AL,total,2004,4530729.0,52423
19,Alabama,AL,under18,2004,1113662.0,52423
20,Alabama,AL,total,2003,4503491.0,52423
21,Alabama,AL,under18,2003,1113083.0,52423
22,Alabama,AL,total,2001,4467634.0,52423
23,Alabama,AL,under18,2001,1120409.0,52423
24,Alabama,AL,total,2002,4480089.0,52423
25,Alabama,AL,under18,2002,1116590.0,52423
26,Alabama,AL,under18,1999,1121287.0,52423
27,Alabama,AL,total,1999,4430141.0,52423
28,Alabama,AL,total,2000,4452173.0,52423
29,Alabama,AL,under18,2000,1122273.0,52423
30,Alabama,AL,total,1998,4404701.0,52423
31,Alabama,AL,under18,1998,1118252.0,52423
32,Alabama,AL,under18,1997,1122893.0,52423
33,Alabama,AL,total,1997,4367935.0,52423
34,Alabama,AL,total,1996,4331103.0,52423
35,Alabama,AL,total,1995,4296800.0,52423
36,Alabama,AL,under18,1995,1110553.0,52423
37,Alabama,AL,under18,1996,1112092.0,52423
38,Alabama,AL,total,1994,4260229.0,52423
39,Alabama,AL,total,1993,4214202.0,52423
40,Alabama,AL,under18,1993,1085606.0,52423
41,Alabama,AL,under18,1994,1097180.0,52423
42,Alabama,AL,under18,1992,1072873.0,52423
43,Alabama,AL,total,1992,4154014.0,52423
44,Alabama,AL,total,1991,4099156.0,52423
45,Alabama,AL,under18,1991,1060794.0,52423
46,Alabama,AL,under18,1990,1050041.0,52423
47,Alabama,AL,total,1990,4050055.0,52423
48,Alaska,AK,total,1990,553290.0,656425
49,Alaska,AK,under18,1990,177502.0,656425
50,Alaska,AK,total,1992,588736.0,656425
51,Alaska,AK,under18,1991,182180.0,656425
52,Alaska,AK,under18,1992,184878.0,656425
53,Alaska,AK,total,1994,603308.0,656425
54,Alaska,AK,under18,1994,187439.0,656425
55,Alaska,AK,total,1991,570193.0,656425
56,Alaska,AK,total,1993,599434.0,656425
57,Alaska,AK,under18,1993,187190.0,656425
58,Alaska,AK,total,1995,604412.0,656425
59,Alaska,AK,under18,1995,184990.0,656425
60,Alaska,AK,total,1996,608569.0,656425
61,Alaska,AK,under18,1996,185360.0,656425
62,Alaska,AK,under18,1997,188280.0,656425
63,Alaska,AK,under18,1998,192636.0,656425
64,Alaska,AK,total,1998,619933.0,656425
65,Alaska,AK,total,1997,612968.0,656425
66,Alaska,AK,under18,1999,191422.0,656425
67,Alaska,AK,total,1999,624779.0,656425
68,Alaska,AK,total,2000,627963.0,656425
69,Alaska,AK,under18,2000,190615.0,656425
70,Alaska,AK,total,2001,633714.0,656425
71,Alaska,AK,under18,2001,188771.0,656425
72,Alaska,AK,total,2002,642337.0,656425
73,Alaska,AK,under18,2002,188482.0,656425
74,Alaska,AK,total,2003,648414.0,656425
75,Alaska,AK,under18,2003,186843.0,656425
76,Alaska,AK,total,2004,659286.0,656425
77,Alaska,AK,under18,2004,186335.0,656425
78,Alaska,AK,total,2005,666946.0,656425
79,Alaska,AK,under18,2005,185304.0,656425
80,Alaska,AK,total,2006,675302.0,656425
81,Alaska,AK,under18,2006,185580.0,656425
82,Alaska,AK,total,2007,680300.0,656425
83,Alaska,AK,under18,2007,184344.0,656425
84,Alaska,AK,total,2008,687455.0,656425
85,Alaska,AK,under18,2008,183124.0,656425
86,Alaska,AK,under18,2013,188132.0,656425
87,Alaska,AK,total,2013,735132.0,656425
88,Alaska,AK,total,2009,698895.0,656425
89,Alaska,AK,under18,2009,186351.0,656425
90,Alaska,AK,under18,2010,187902.0,656425
91,Alaska,AK,total,2010,713868.0,656425
92,Alaska,AK,under18,2011,188329.0,656425
93,Alaska,AK,total,2011,723375.0,656425
94,Alaska,AK,under18,2012,188162.0,656425
95,Alaska,AK,total,2012,730307.0,656425
96,Arizona,AZ,under18,2012,1617149.0,114006
97,Arizona,AZ,total,2012,6551149.0,114006
98,Arizona,AZ,under18,2011,1616353.0,114006
99,Arizona,AZ,total,2011,6468796.0,114006
100,Arizona,AZ,under18,2010,1628563.0,114006
101,Arizona,AZ,total,2010,6408790.0,114006
102,Arizona,AZ,under18,2013,1616814.0,114006
103,Arizona,AZ,total,2013,6626624.0,114006
104,Arizona,AZ,total,2009,6343154.0,114006
105,Arizona,AZ,under18,2009,1627343.0,114006
106,Arizona,AZ,total,2007,6167681.0,114006
107,Arizona,AZ,under18,2007,1607895.0,114006
108,Arizona,AZ,total,2008,6280362.0,114006
109,Arizona,AZ,under18,2008,1628651.0,114006
110,Arizona,AZ,total,2005,5839077.0,114006
111,Arizona,AZ,under18,2005,1529168.0,114006
112,Arizona,AZ,total,2006,6029141.0,114006
113,Arizona,AZ,under18,2006,1574867.0,114006
114,Arizona,AZ,total,2004,5652404.0,114006
115,Arizona,AZ,under18,2004,1484454.0,114006
116,Arizona,AZ,total,2003,5510364.0,114006
117,Arizona,AZ,under18,2003,1453671.0,114006
118,Arizona,AZ,total,2001,5273477.0,114006
119,Arizona,AZ,under18,2001,1399015.0,114006
120,Arizona,AZ,total,2002,5396255.0,114006
121,Arizona,AZ,under18,2002,1427938.0,114006
122,Arizona,AZ,under18,1999,1332396.0,114006
123,Arizona,AZ,total,1999,5023823.0,114006
124,Arizona,AZ,total,2000,5160586.0,114006
125,Arizona,AZ,under18,2000,1373414.0,114006
126,Arizona,AZ,total,1998,4883342.0,114006
127,Arizona,AZ,under18,1998,1285794.0,114006
128,Arizona,AZ,total,1997,4736990.0,114006
129,Arizona,AZ,under18,1997,1237159.0,114006
130,Arizona,AZ,under18,1996,1215285.0,114006
131,Arizona,AZ,total,1996,4586940.0,114006
132,Arizona,AZ,total,1995,4432499.0,114006
133,Arizona,AZ,under18,1995,1173391.0,114006
134,Arizona,AZ,total,1993,4065440.0,114006
135,Arizona,AZ,under18,1993,1094233.0,114006
136,Arizona,AZ,under18,1994,1119857.0,114006
137,Arizona,AZ,total,1994,4245089.0,114006
138,Arizona,AZ,under18,1992,1055572.0,114006
139,Arizona,AZ,under18,1991,1028285.0,114006
140,Arizona,AZ,total,1991,3788576.0,114006
141,Arizona,AZ,total,1992,3915740.0,114006
142,Arizona,AZ,under18,1990,1006040.0,114006
143,Arizona,AZ,total,1990,3684097.0,114006
144,Arkansas,AR,under18,1990,620933.0,53182
145,Arkansas,AR,total,1990,2356586.0,53182
146,Arkansas,AR,total,1991,2383144.0,53182
147,Arkansas,AR,under18,1991,626212.0,53182
148,Arkansas,AR,under18,1992,638269.0,53182
149,Arkansas,AR,total,1992,2415984.0,53182
150,Arkansas,AR,under18,1994,653842.0,53182
151,Arkansas,AR,total,1994,2494019.0,53182
152,Arkansas,AR,total,1993,2456303.0,53182
153,Arkansas,AR,under18,1993,643474.0,53182
154,Arkansas,AR,under18,1995,667671.0,53182
155,Arkansas,AR,total,1995,2535399.0,53182
156,Arkansas,AR,under18,1996,677912.0,53182
157,Arkansas,AR,total,1996,2572109.0,53182
158,Arkansas,AR,under18,1998,683637.0,53182
159,Arkansas,AR,total,1997,2601091.0,53182
160,Arkansas,AR,under18,1997,680203.0,53182
161,Arkansas,AR,total,1998,2626289.0,53182
162,Arkansas,AR,total,2000,2678588.0,53182
163,Arkansas,AR,under18,2000,680378.0,53182
164,Arkansas,AR,under18,1999,681940.0,53182
165,Arkansas,AR,total,1999,2651860.0,53182
166,Arkansas,AR,total,2002,2705927.0,53182
167,Arkansas,AR,under18,2002,678798.0,53182
168,Arkansas,AR,total,2001,2691571.0,53182
169,Arkansas,AR,under18,2001,679606.0,53182
170,Arkansas,AR,total,2004,2749686.0,53182
171,Arkansas,AR,under18,2004,683166.0,53182
172,Arkansas,AR,total,2003,2724816.0,53182
173,Arkansas,AR,under18,2003,679579.0,53182
174,Arkansas,AR,total,2006,2821761.0,53182
175,Arkansas,AR,under18,2006,697842.0,53182
176,Arkansas,AR,total,2005,2781097.0,53182
177,Arkansas,AR,under18,2005,689787.0,53182
178,Arkansas,AR,total,2008,2874554.0,53182
179,Arkansas,AR,under18,2008,705725.0,53182
180,Arkansas,AR,total,2007,2848650.0,53182
181,Arkansas,AR,under18,2007,702737.0,53182
182,Arkansas,AR,total,2009,2896843.0,53182
183,Arkansas,AR,under18,2009,707886.0,53182
184,Arkansas,AR,under18,2013,709866.0,53182
185,Arkansas,AR,total,2013,2959373.0,53182
186,Arkansas,AR,under18,2011,710576.0,53182
187,Arkansas,AR,total,2011,2938506.0,53182
188,Arkansas,AR,under18,2010,711947.0,53182
189,Arkansas,AR,total,2010,2922280.0,53182
190,Arkansas,AR,under18,2012,710471.0,53182
191,Arkansas,AR,total,2012,2949828.0,53182
192,California,CA,under18,2012,9209007.0,163707
193,California,CA,total,2012,37999878.0,163707
194,California,CA,under18,2011,9252336.0,163707
195,California,CA,total,2011,37668681.0,163707
196,California,CA,under18,2010,9284094.0,163707
197,California,CA,total,2010,37333601.0,163707
198,California,CA,under18,2013,9174877.0,163707
199,California,CA,total,2013,38332521.0,163707
200,California,CA,total,2009,36961229.0,163707
201,California,CA,under18,2009,9294501.0,163707
202,California,CA,total,2007,36250311.0,163707
203,California,CA,under18,2007,9335620.0,163707
204,California,CA,total,2008,36604337.0,163707
205,California,CA,under18,2008,9321621.0,163707
206,California,CA,total,2005,35827943.0,163707
207,California,CA,under18,2005,9405565.0,163707
208,California,CA,total,2006,36021202.0,163707
209,California,CA,under18,2006,9370884.0,163707
210,California,CA,total,2003,35253159.0,163707
211,California,CA,under18,2003,9404594.0,163707
212,California,CA,total,2004,35574576.0,163707
213,California,CA,under18,2004,9418497.0,163707
214,California,CA,total,2001,34479458.0,163707
215,California,CA,under18,2001,9325466.0,163707
216,California,CA,total,2002,34871843.0,163707
217,California,CA,under18,2002,9365142.0,163707
218,California,CA,under18,1999,9207878.0,163707
219,California,CA,total,1999,33499204.0,163707
220,California,CA,total,2000,33987977.0,163707
221,California,CA,under18,2000,9267089.0,163707
222,California,CA,under18,1998,9163238.0,163707
223,California,CA,total,1998,32987675.0,163707
224,California,CA,under18,1997,9135359.0,163707
225,California,CA,total,1997,32486010.0,163707
226,California,CA,under18,1996,9079519.0,163707
227,California,CA,total,1996,32018834.0,163707
228,California,CA,total,1995,31696582.0,163707
229,California,CA,under18,1995,8920578.0,163707
230,California,CA,total,1993,31274928.0,163707
231,California,CA,under18,1993,8624810.0,163707
232,California,CA,under18,1994,8790058.0,163707
233,California,CA,total,1994,31484435.0,163707
234,California,CA,total,1991,30470736.0,163707
235,California,CA,under18,1991,8245605.0,163707
236,California,CA,under18,1992,8439647.0,163707
237,California,CA,total,1992,30974659.0,163707
238,California,CA,under18,1990,7980501.0,163707
239,California,CA,total,1990,29959515.0,163707
240,Colorado,CO,total,1990,3307618.0,104100
241,Colorado,CO,under18,1990,881640.0,104100
242,Colorado,CO,total,1992,3495939.0,104100
243,Colorado,CO,under18,1992,925577.0,104100
244,Colorado,CO,under18,1991,896537.0,104100
245,Colorado,CO,total,1991,3387119.0,104100
246,Colorado,CO,total,1994,3724168.0,104100
247,Colorado,CO,under18,1994,966412.0,104100
248,Colorado,CO,under18,1993,947806.0,104100
249,Colorado,CO,total,1993,3613734.0,104100
250,Colorado,CO,under18,1995,984310.0,104100
251,Colorado,CO,total,1995,3826653.0,104100
252,Colorado,CO,total,1996,3919972.0,104100
253,Colorado,CO,under18,1996,1003946.0,104100
254,Colorado,CO,under18,1997,1030557.0,104100
255,Colorado,CO,total,1997,4018293.0,104100
256,Colorado,CO,total,1998,4116639.0,104100
257,Colorado,CO,under18,1998,1060066.0,104100
